,Country,Country Code,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol Consumption per Capita (liter),equal_or_lower_than_5.41?
119,Togo,TGO,3.9989999999999997,0.259,0.474,0.253,0.434,0.158,0.10099999999999999,2.46,True
120,Guinea,GIN,3.964,0.344,0.792,0.21100000000000002,0.39399999999999996,0.185,0.094,1.11,True
121,Lesotho,LSO,3.8080000000000003,0.47200000000000003,1.215,0.079,0.423,0.11599999999999999,0.11199999999999999,4.59,True
122,Angola,AGO,3.795,0.73,1.125,0.26899999999999996,0.0,0.079,0.061,6.94,True
123,Madagascar,MDG,3.7739999999999996,0.262,0.9079999999999999,0.402,0.221,0.155,0.049,1.97,True
124,Zimbabwe,ZWE,3.6919999999999997,0.35700000000000004,1.094,0.248,0.406,0.132,0.099,4.67,True
125,Afghanistan,AFG,3.6319999999999997,0.332,0.537,0.255,0.085,0.191,0.036000000000000004,0.21,True
126,Botswana,BWA,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,6.59,True
127,Malawi,MWI,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.21,0.08,3.63,True
128,Haiti,HTI,3.582,0.315,0.7140000000000001,0.289,0.025,0.392,0.10400000000000001,2.73,True
129,Liberia,LBR,3.495,0.076,0.858,0.267,0.419,0.20600000000000002,0.03,6.12,True
130,Rwanda,RWA,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,0.444,8.95,True
131,Tanzania,TZA,3.303,0.455,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999,11.27,True
132,Central African Republic,CAF,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2.38,True
133,Burundi,BDI,2.905,0.091,0.627,0.145,0.065,0.149,0.076,7.19,True
